station_id,name,latitude,longitude,town,num_connections,connector_type,power_kw
309281,"Key Motors, Bannerghatta Road",12.88912,77.59736,Bengaluru,1,CCS (Type 2),24.0
308922,Blusmart Charging Station (HSR Hub),12.90212,77.64191,Bengaluru,4,CCS (Type 2),60.0
103607,Ather Grid Point - Fab Cafe,12.9339420487577,77.517451890213,Bengaluru,1,Unknown,3.0
309309,DoubleTree Suites by Hilton Bengaluru Outer Ring Road,12.919111753741149,77.66515519490173,Bengaluru,1,CCS (Type 2),60.0
309328,Forum South Bengaluru,12.88919162512768,77.56343684144673,Bengaluru,6,Type 2 (Tethered Connector) ,7.4
309277,BESCOM Rajarajeshwari Nagar,12.92905,77.514789,Bengaluru,1,CCS (Type 2),50.0
308889,Shell Recharge Thanisandra,13.05367,77.63073,Bengaluru,2,CCS (Type 2),120.0
308901,Shell Recharge Haralur,12.91293,77.66542,Bengaluru,1,CCS (Type 2),120.0
309302,"Prerana Motors, Hongasandra",12.8912,77.63829,Bengaluru,2,CCS (Type 2),25.0
309350,MG Motor B Narayanapura,12.99577,77.6847,Bengaluru,1,CCS (Type 2),50.0
308732,Jio BP Pulse,12.98931,77.50062,Bengaluru,1,CCS (Type 2),60.0
508923,Sobha Corporate Office,12.932292,77.681965,,1,Type 2 (Tethered Connector) ,7.0
309301,Pratham Motors,12.89388,77.65157,Bengaluru,1,CCS (Type 2),60.0
309279,Royal Meenakshi Mall,12.8759,77.59583,Bengaluru,1,CCS (Type 2),60.0
309310,Courtyard by Marriott,12.928234378881882,77.68218794687056,Bengaluru,1,CCS (Type 2),60.0
308811,Novotel Bengaluru Outer Ring Road,12.9299,77.68317,Bengaluru,1,Type 2 (Tethered Connector) ,22.0
308890,Shell Recharge TC Palya,13.02234,77.67867,Bengaluru,2,CCS (Type 2),120.0
502292,MobiLane Ecospace,12.9249701,77.68147802,Bengaluru,1,Unknown,
309316,Exora Business Park,12.94329,77.69229,Bengaluru,1,CCS (Type 2),60.0
308899,Shell Recharge Prestige Tech Park,12.94269,77.69235,Bengaluru,2,CCS (Type 2),30.0
188200,Hosa Road,12.911521506082025,77.67629825827191, Chikkanayakanahalli,1,Type 2 (Tethered Connector) ,3.3
309311,The Bay at Ecoworld,12.921003663939288,77.68539425864924,Bengaluru,1,CCS (Type 2),80.0
308812,RMZ EcoWorld,12.92542,77.68788,Bengaluru,1,CCS (Type 2),50.0
502295,MobiLane The Bay at Ecoworld,12.92096727,77.68547587,Bengaluru,1,Unknown,80.0
309312,RMZ Eco World,12.92099415205729,77.6860545556384,Bengaluru,1,CCS (Type 2),50.0
309315,Aloft Bengaluru Outer Ring Road ,12.93674468018763,77.69488851137544,Bengaluru,1,CCS (Type 2),60.0
309303,"More Hypermarket, Hosur Road",12.88014,77.64592,Bengaluru,1,CCS (Type 2),60.0
309349,Trifecta Addatto,12.994305942257284,77.69929493060977,Bengaluru,2,CCS (Type 2),60.0
308900,Shell Recharge Marathahalli,12.94285,77.69782,Bengaluru,3,CCS (Type 2),120.0
